event_id,event_ts,user_id,channel,title,genre,device,watch_minutes,completed,age,gender,city,date,hour
E000001,2026-03-24 00:56:00,U00469,TV,Prime Novela B,Kids,Tablet,22,True,26,F,Cali,2026-03-24,0
E000002,2026-03-08 05:59:00,U04772,YouTube,Prime Novela B,Novela,Radio set,9,True,60,F,Other,2026-03-08,5
E000003,2026-02-07 08:03:00,U02619,DITU,Prime Novela A,Entertainment,Smart TV,31,True,54,F,Bogotá,2026-02-07,8
E000004,2026-01-08 05:34:00,U04953,YouTube,Prime Novela B,News,Smart TV,12,False,62,M,Medellín,2026-01-08,5
E000005,2026-01-14 17:49:00,U02076,YouTube,Weekend Special,News,Mobile,13,True,40,M,Bogotá,2026-01-14,17
E000006,2026-01-22 20:15:00,U04166,Radio,Morning News Live,Documentary,Desktop,92,False,56,M,Barranquilla,2026-01-22,20
E000007,2026-02-06 13:35:00,U01655,DITU,Prime Novela A,Entertainment,Mobile,40,False,25,F,Cali,2026-02-06,13
E000008,2026-03-21 17:32:00,U02220,DITU,Match Night,News,Smart TV,30,True,27,F,Bogotá,2026-03-21,17
E000009,2026-01-11 18:16:00,U01735,TV,Morning News Live,News,Smart TV,25,False,66,F,Bogotá,2026-01-11,18
E000010,2026-02-21 22:08:00,U02738,DITU,YouTube Clip Hour,Novela,Mobile,23,True,27,F,Bogotá,2026-02-21,22
E000011,2026-02-01 06:12:00,U01117,Portal,Talk Show Central,Novela,Mobile,1,True,74,M,Medellín,2026-02-01,6
E000012,2026-01-05 04:37:00,U02517,TV,Streaming Exclusive 02,News,Smart TV,23,False,56,M,Medellín,2026-01-05,4
E000013,2026-02-25 17:44:00,U04200,Radio,Streaming Exclusive 01,Sports,Mobile,86,False,30,M,Cali,2026-02-25,17
E000014,2026-03-05 09:11:00,U00779,TV,Prime Novela B,Entertainment,Smart TV,35,False,31,M,Bogotá,2026-03-05,9
E000015,2026-03-28 08:28:00,U03965,Portal,Prime Novela B,News,Desktop,13,True,27,M,Cali,2026-03-28,8
E000016,2026-02-15 14:26:00,U04273,YouTube,Radio Morning Drive,Documentary,Smart TV,14,False,71,F,Medellín,2026-02-15,14
E000017,2026-01-30 06:51:00,U00175,Radio,Weekend Special,News,Smart TV,90,False,57,F,Cali,2026-01-30,6
