team,player,matches,lb_attempted,lb_completed,avg_distance_m,avg_sprints,avg_top_speed,lb_completion_pct,score
France,FRA_02,4,65,45,8854.5,16.0,30.725,69.2,67.7
England,ENG_10,4,59,42,9669.75,11.75,31.65,71.2,65.9
Argentina,ARG_10,4,41,28,10603.75,17.25,31.950000000000003,68.3,65.0
Argentina,ARG_02,4,47,27,11219.0,16.75,32.575,57.4,63.9
Germany,GER_05,6,59,44,9139.833333333334,9.666666666666666,31.71666666666667,74.6,63.9
Colombia,COL_04,3,27,23,10577.333333333334,15.0,31.0,85.2,63.7
USA,USA_08,1,3,3,10703.0,24.0,32.7,100.0,62.8
USA,USA_01,1,16,14,10699.0,18.0,27.1,87.5,61.6
Colombia,COL_02,3,46,20,12166.666666666666,18.666666666666668,30.96666666666667,43.5,61.6
Japan,JAP_01,4,44,31,8567.75,19.75,31.025,70.5,60.8
Germany,GER_11,6,36,30,8826.666666666666,15.333333333333334,31.916666666666668,83.3,60.5
Morocco,MOR_01,4,41,27,10004.5,16.5,30.450000000000003,65.9,60.4
Morocco,MOR_06,4,32,24,10133.25,15.25,31.075,75.0,60.1
Netherlands,NET_04,2,23,15,11443.5,18.0,30.4,65.2,59.9
Argentina,ARG_07,4,58,29,10258.25,16.75,31.525,50.0,59.1
France,FRA_07,4,52,33,9221.25,15.0,31.5,63.5,59.0
Germany,GER_03,6,49,31,9656.333333333334,14.166666666666666,30.516666666666666,63.3,58.8
Brazil,BRA_11,1,17,17,7300.0,25.0,29.4,100.0,58.0
Morocco,MOR_11,4,15,11,11360.25,16.75,31.875,73.3,57.8
Germany,GER_08,6,52,28,10368.0,14.333333333333334,32.46666666666667,53.8,57.7
USA,USA_02,1,11,9,9124.0,26.0,27.5,81.8,57.1
England,ENG_08,4,49,30,9043.25,16.0,30.125,61.2,56.5
Argentina,ARG_01,4,36,22,9786.75,18.25,30.1,61.1,56.5
Argentina,ARG_05,4,40,24,9381.75,18.75,29.15,60.0,56.2
Japan,JAP_11,4,34,23,10343.0,12.0,29.875,67.6,55.6
Germany,GER_10,6,61,24,10274.333333333334,19.333333333333332,31.333333333333332,39.3,55.5
France,FRA_11,4,38,20,10865.75,15.0,30.2,52.6,54.8
France,FRA_04,4,44,30,9051.75,12.0,31.0,68.2,54.7
Spain,SPA_10,3,13,9,10990.333333333334,17.666666666666668,28.933333333333334,69.2,54.6
Netherlands,NET_06,2,7,7,9605.5,16.5,29.05,100.0,53.8
Morocco,MOR_08,4,42,28,9640.75,9.75,31.325,66.7,53.5
Portugal,POR_09,4,30,20,9282.75,17.0,32.224999999999994,66.7,53.2
Brazil,BRA_07,1,14,8,9480.0,26.0,28.0,57.1,51.8
Japan,JAP_04,4,39,21,9598.25,16.75,31.225,53.8,51.8
Colombia,COL_11,3,32,17,11605.333333333334,10.0,31.0,53.1,51.7
Brazil,BRA_08,1,6,2,11458.0,27.0,34.6,33.3,51.5
Japan,JAP_08,4,39,22,10665.25,9.75,28.975,56.4,51.5
Morocco,MOR_09,4,42,24,9652.25,13.0,30.900000000000002,57.1,51.5
Spain,SPA_05,3,23,8,11722.0,20.666666666666668,30.866666666666664,34.8,51.3
France,FRA_10,4,25,22,8187.25,12.75,29.85,88.0,51.2
Morocco,MOR_05,4,17,14,8920.5,16.5,31.3,82.4,51.1
Colombia,COL_06,3,23,17,8779.666666666666,17.0,32.06666666666667,73.9,50.8
Brazil,BRA_04,1,3,3,10400.0,12.0,30.6,100.0,50.6
Argentina,ARG_03,4,33,22,9533.0,11.5,30.825,66.7,50.6
Japan,JAP_10,4,25,13,9410.0,22.25,31.1,52.0,50.2
Japan,JAP_09,4,26,17,9825.75,13.5,31.45,65.4,50.1
Spain,SPA_08,3,20,15,8207.666666666666,20.0,30.833333333333332,75.0,49.9
Brazil,BRA_03,1,16,7,12069.0,15.0,31.8,43.8,49.3
Portugal,POR_04,4,18,10,10263.25,17.75,31.675,55.6,48.8
France,FRA_08,4,54,18,9704.75,20.0,31.55,33.3,48.1
Colombia,COL_08,3,23,11,11311.333333333334,13.333333333333334,30.100000000000005,47.8,48.1
